event_id,user_id,title,category,related_job_id,related_company_id,start_time,end_time,priority,event_status,location,created_at,updated_at
evt_2000,user_030,Diet Tracking Reminder Event,Diet Tracking Reminder,,,2025-10-30T17:15:00+00:00,2025-10-30T19:15:00+00:00,Medium,done,"Mumbai, Maharashtra",2025-10-18T17:15:00+00:00,2025-11-26T06:39:52.400704+00:00
evt_2001,user_042,Travel Planning Event,Travel Planning,,,2025-12-01T13:30:00+00:00,2025-12-01T16:30:00+00:00,Medium,done,Remote,2025-11-18T13:30:00+00:00,2025-11-26T06:39:52.400704+00:00
evt_2002,user_050,Team Sync Event,Team Sync,,,2025-10-29T17:30:00+00:00,2025-10-29T18:30:00+00:00,Medium,done,Remote,2025-10-28T17:30:00+00:00,2025-11-26T06:39:52.400704+00:00
evt_2003,user_030,Payment Collection Alert Event,Payment Collection Alert,,,2025-11-25T14:45:00+00:00,2025-11-25T17:45:00+00:00,Medium,cancelled,Remote,2025-11-16T14:45:00+00:00,2025-11-26T06:39:52.400704+00:00
evt_2004,user_022,Packing Reminder Event,Packing Reminder,,,2025-10-30T09:15:00+00:00,2025-10-30T11:15:00+00:00,Medium,scheduled,"Pune, Maharashtra",2025-10-19T09:15:00+00:00,2025-11-26T06:39:52.400704+00:00
evt_2005,user_002,Team Sync Event,Team Sync,,,2025-10-29T08:15:00+00:00,2025-10-29T10:15:00+00:00,Medium,done,"Pune, Maharashtra",2025-10-01T08:15:00+00:00,2025-11-26T06:39:52.400704+00:00
evt_2006,user_009,Yoga Session Event,Yoga Session,,,2026-01-02T13:00:00+00:00,2026-01-02T15:00:00+00:00,Medium,cancelled,"Mumbai, Maharashtra",2025-12-14T13:00:00+00:00,2025-11-26T06:39:52.400704+00:00
evt_2007,user_028,Subscription Renewal Event,Subscription Renewal,,,2025-12-12T15:00:00+00:00,2025-12-12T18:00:00+00:00,Medium,done,"Mumbai, Maharashtra",2025-11-26T15:00:00+00:00,2025-11-26T06:39:52.400704+00:00
evt_2008,user_017,Payment Collection Alert Event,Payment Collection Alert,,,2025-10-31T11:30:00+00:00,2025-10-31T12:30:00+00:00,Medium,scheduled,"Bengaluru, Karnataka",2025-10-08T11:30:00+00:00,2025-11-26T06:39:52.400704+00:00
evt_2009,user_040,Payment Collection Alert Event,Payment Collection Alert,,,2026-01-05T17:30:00+00:00,2026-01-05T19:30:00+00:00,Medium,done,"Bengaluru, Karnataka",2025-12-28T17:30:00+00:00,2025-11-26T06:39:52.400704+00:00
evt_2010,user_029,Medical Test Event,Medical Test,,,2025-11-14T14:30:00+00:00,2025-11-14T17:30:00+00:00,Medium,done,Remote,2025-11-08T14:30:00+00:00,2025-11-26T06:39:52.400704+00:00
evt_2011,user_029,Home Repair Visit Event,Home Repair Visit,,,2026-01-15T16:00:00+00:00,2026-01-15T19:00:00+00:00,Medium,done,"Bengaluru, Karnataka",2026-01-01T16:00:00+00:00,2025-11-26T06:39:52.400704+00:00
evt_2012,user_010,Payment Collection Alert Event,Payment Collection Alert,,,2025-11-20T13:15:00+00:00,2025-11-20T15:15:00+00:00,Medium,done,"Mumbai, Maharashtra",2025-11-15T13:15:00+00:00,2025-11-26T06:39:52.400704+00:00
