client_id,company_id,company_name,industry,total_jobs_posted,total_freelancers_hired,freelancer_ids,preferred_experience_level,avg_money_spent_per_project,organization_rating,past_job_ids
user_023,company_001,TechCorp Solutions,E-commerce,14,14,"user_022, user_013, user_024, user_032, user_018, user_045, user_030, user_023, user_034, user_038, user_036, user_014, user_008, user_012",Advanced,107560,84,"job_c0f3a56c, job_88360bb7, job_0f36f449, job_4f30d605, job_b084fde5, job_067ddbca, job_c1aaf9cf, job_9a5292ba, job_a477e622, job_47c528e7, job_aa019649, job_9b24f9d9, job_de4e2563, job_ffb0b974"
user_010,company_022,Hyperlane Technologies,Fintech,15,9,"user_009, user_027, user_043, user_026, user_029, user_007, user_049, user_020, user_034",Advanced,94064,86,"job_1b790f36, job_bbdb8a3c, job_de7c5695, job_8e52e0d2, job_fd035207, job_b81b7efd, job_702cc8c7, job_e5f5dfcf, job_d0626658, job_b5e618fc, job_fad71015, job_5b78b645, job_1943949c, job_9b92a8a7, job_105a2a83"
user_032,company_006,AlphaUp Startups,E-commerce,16,13,"user_027, user_029, user_044, user_032, user_014, user_036, user_047, user_006, user_022, user_003, user_019, user_046, user_023",Advanced,84866,93,"job_39b4409b, job_02f4f76c, job_2fb50ef3, job_b6332024, job_adc95417, job_98ee3cce, job_dcdd322d, job_54a2344d, job_9ba70b22, job_8591b0de, job_c74458a7, job_d55db898, job_ff6a6644, job_37286c67, job_0bf26a55, job_2c4ae5d0"
user_046,company_019,MatrixEdge Pvt Ltd,EdTech,9,7,"user_009, user_016, user_045, user_025, user_047, user_024, user_026",Advanced,71858,70,"job_489cca6b, job_3a1c3da3, job_4fc2e31b, job_5fdc2dbd, job_837c575a, job_967bf0f7, job_f11748d3, job_39214be1, job_368597ec"
user_005,company_024,OrbitWorks Solutions,Fintech,16,14,"user_034, user_048, user_006, user_046, user_016, user_047, user_041, user_027, user_019, user_007, user_002, user_029, user_043, user_037",Advanced,68265,92,"job_4d7bad3b, job_726daea9, job_19b8557a, job_f499717d, job_ac65cef2, job_3d0cae83, job_4312d624, job_55b361e5, job_faf79b49, job_807cd451, job_767a27e2, job_666e294c, job_183e8664, job_278f4fa1, job_94170c46, job_49f60167"
user_003,company_037,OmniLayer Interactive,Healthcare,13,11,"user_044, user_037, user_005, user_042, user_048, user_049, user_033, user_026, user_004, user_029, user_028",Advanced,74536,83,"job_ae71a68d, job_b17f38f3, job_f852de69, job_75967e8a, job_6dfd2208, job_62691c7b, job_c5e4c5cc, job_0cc83a35, job_e859cc69, job_7358eaff, job_97dd5d72, job_55eebc8a, job_f669016d"
user_008,company_007,Remote DAO,Healthcare,9,10,"user_013, user_050, user_020, user_048, user_004, user_019, user_022, user_035, user_012, user_041",Advanced,95475,85,"job_9409a295, job_e69a4240, job_b17585b3, job_d6431ddd, job_54e63c1c, job_817227a6, job_a7041c3a, job_42fe0a0a, job_a8a4395a"
user_029,company_033,UrbanMonk Technologies,E-commerce,21,11,"user_007, user_012, user_014, user_035, user_043, user_017, user_050, user_044, user_021, user_015, user_032",Advanced,83167,61,"job_109a4c4c, job_85652b2e, job_ff1aab77, job_253c938e, job_541861d0, job_c4936be8, job_6435daae, job_8cfd8040, job_71daa910, job_e3315574, job_44058ae1, job_24a9814c, job_376751eb, job_41df9835, job_276113cb, job_ce1541eb, job_48bde0b2, job_dccd0acf, job_3763a58d, job_374c0ad7, job_87e0f4ab"
user_033,company_026,VectorShift Technologies,Fintech,13,12,"user_018, user_015, user_050, user_025, user_034, user_005, user_012, user_022, user_036, user_013, user_049, user_046",Advanced,112889,92,"job_dbfa92c5, job_540119a6, job_9fe9f14b, job_a3c43631, job_9bfe2236, job_e8ae1480, job_5fed7f7c, job_14dfedf9, job_b6938a11, job_0ea3c00b, job_6668ed99, job_561bf12a, job_eb50931f"
user_009,company_015,NextWave Creations,LegalTech,13,13,"user_006, user_042, user_011, user_018, user_003, user_048, user_014, user_037, user_005, user_020, user_015, user_004, user_040",Advanced,94220,92,"job_a7ba7b6b, job_5468ea74, job_a87afd61, job_10a065bf, job_385c3114, job_26d53914, job_4a61a173, job_5b571e6a, job_17829f1b, job_8d2b5a90, job_78e52d8c, job_a962ee07, job_64e71802"
user_019,company_031,SkyForge Web Systems,LegalTech,22,16,"user_002, user_005, user_001, user_034, user_006, user_007, user_015, user_003, user_036, user_047, user_049, user_030, user_045, user_027, user_022, user_035",Advanced,113650,66,"job_df7ab772, job_32937e27, job_e301fc7e, job_3c9b2f6d, job_a2835d8d, job_e9b3aab8, job_e7d26d68, job_f8620425, job_0a179263, job_838a019b, job_a5f5f285, job_a0738565, job_f1dde646, job_7ac55263, job_24ebd2a9, job_d6af9293, job_0f02eda5, job_9eac13dd, job_5048311c, job_e7cb5862, job_51d34564, job_77e92ecd"
user_001,company_022,Hyperlane Technologies,LegalTech,15,10,"user_047, user_021, user_044, user_015, user_030, user_043, user_049, user_050, user_027, user_032",Advanced,94064,82,"job_1b790f36, job_bbdb8a3c, job_de7c5695, job_8e52e0d2, job_fd035207, job_b81b7efd, job_702cc8c7, job_e5f5dfcf, job_d0626658, job_b5e618fc, job_fad71015, job_5b78b645, job_1943949c, job_9b92a8a7, job_105a2a83"
user_007,company_031,SkyForge Web Systems,EdTech,22,15,"user_024, user_003, user_050, user_038, user_031, user_033, user_026, user_042, user_017, user_015, user_023, user_035, user_004, user_030, user_046",Advanced,113650,89,"job_df7ab772, job_32937e27, job_e301fc7e, job_3c9b2f6d, job_a2835d8d, job_e9b3aab8, job_e7d26d68, job_f8620425, job_0a179263, job_838a019b, job_a5f5f285, job_a0738565, job_f1dde646, job_7ac55263, job_24ebd2a9, job_d6af9293, job_0f02eda5, job_9eac13dd, job_5048311c, job_e7cb5862, job_51d34564, job_77e92ecd"
user_044,company_002,FinSys Pvt Ltd,Real Estate,19,14,"user_009, user_018, user_030, user_048, user_008, user_014, user_019, user_016, user_033, user_020, user_017, user_027, user_035, user_006",Advanced,108762,89,"job_5ef92acf, job_4d093d6d, job_49d31ef7, job_447885de, job_1b882f4b, job_e4d9c98e, job_faafa580, job_89cc04c2, job_10c5dc86, job_c99a818a, job_43a983a9, job_362589b4, job_8c0bb2ac, job_ca15f87d, job_b6fee1bc, job_b7b54817, job_12823e97, job_6e36a2fc, job_9daab9a5"
