freelancer_id,name,experience_years,primary_category,experience_level,skills,past_projects_count,past_project_ids,companies_worked_with_count,company_ids,avg_earning_per_project,credibility_score,review_sample,total_reviews
user_022,Freelancer user_022,5,Backend Systems,Expert,"Flutter, Figma, UI/UX",7,"job_909a25f0, job_367857a5, job_a51909d3, job_4e90bad5, job_0e2159e4, job_9bfe2236, job_fc6c4e22",7,"company_014, company_017, company_021, company_013, company_034, company_026, company_020",134912,76,Very professional; Strong problem-solving skills; Exceeded expectations,40
user_009,Freelancer user_009,9,Backend Systems,Advanced,"Django, UI/UX, Figma, Machine Learning, Node.js",12,"job_d71cf70e, job_c2801be0, job_cc34dd4b, job_0bad3c99, job_8b5bfaed, job_ae71a68d, job_cdb80ceb, job_385c3114, job_109a4c4c, job_bb0d7505, job_731e29f1, job_95dcd692",11,"company_035, company_027, company_029, company_036, company_025, company_037, company_012, company_015, company_033, company_013, company_038",128008,72,Quality could be improved; Timely communication; Excellent delivery,9
user_027,Freelancer user_027,5,ML/AI,Advanced,"AWS, Figma, DevOps",12,"job_c47d20f3, job_9ba70b22, job_796d7558, job_67178b0b, job_0004a759, job_a2a5ce1b, job_519a31cc, job_a8a4395a, job_01bb4e0d, job_6a9d149b, job_d6af9293, job_838a019b",10,"company_036, company_006, company_021, company_011, company_012, company_039, company_032, company_007, company_030, company_031",88856,56,Very professional; Strong problem-solving skills; Quality could be improved,9
user_034,Freelancer user_034,4,Backend Systems,Beginner,"Figma, Python, AWS, Machine Learning",18,"job_a922fd85, job_3763a58d, job_2b586431, job_42fe0a0a, job_5ef92acf, job_bda198b3, job_32b3d8a1, job_ef1d436e, job_6dfd2208, job_ed3f8567, job_372d7601, job_080d1cbc, job_3af7aba0, job_d9f45011, job_9bfe2236, job_64e71802, job_1de2a971, job_bbdb8a3c",17,"company_009, company_033, company_004, company_007, company_002, company_025, company_023, company_037, company_038, company_003, company_036, company_005, company_013, company_026, company_015, company_014, company_022",115867,58,Excellent delivery; Reliable freelancer; Exceeded expectations,8
user_044,Freelancer user_044,7,Graphic Design,Beginner,"UI/UX, Django, Next.js, Node.js",15,"job_7e445da5, job_d8c82b2c, job_726daea9, job_4a61a173, job_ae71a68d, job_a9c893fa, job_4d093d6d, job_faf79b49, job_2c4ae5d0, job_efb69937, job_ac65cef2, job_8d2b5a90, job_f11748d3, job_8f285a8b, job_e007ee4f",12,"company_005, company_040, company_024, company_015, company_037, company_035, company_002, company_006, company_021, company_019, company_036, company_025",114750,44,Strong problem-solving skills; Exceeded expectations; Quality could be improved,13
user_013,Freelancer user_013,2,Web Development,Intermediate,"Flutter, Machine Learning, UI/UX, React",13,"job_f4f77a1a, job_e8ae1480, job_fbde6b43, job_a2a5ce1b, job_a360a195, job_ff6a6644, job_35903f42, job_c7e2efef, job_0bedbdc5, job_3c6dbb60, job_817227a6, job_7ca55a85, job_f0363585",12,"company_011, company_026, company_017, company_039, company_003, company_006, company_027, company_028, company_016, company_007, company_005, company_009",106550,53,Quality could be improved; Strong problem-solving skills; Timely communication,7
user_007,Freelancer user_007,8,ML/AI,Expert,"DevOps, Django, Machine Learning, Node.js, Figma",11,"job_47c528e7, job_c2801be0, job_136c0a13, job_d9f45011, job_cdb80ceb, job_0e7453fe, job_2c419289, job_29370dbb, job_54e63c1c, job_2b586431, job_ac6a5599",9,"company_001, company_027, company_017, company_013, company_012, company_020, company_007, company_004, company_039",134502,53,Timely communication; Excellent delivery; Reliable freelancer,42
user_018,Freelancer user_018,1,Data Analysis,Intermediate,"Node.js, FastAPI, UI/UX, Flutter, Python, React",15,"job_97dd5d72, job_cd6f96fc, job_d71cf70e, job_f1dde646, job_3e7df80b, job_200ee68a, job_014ea0be, job_47c528e7, job_e69a4240, job_ae5de584, job_551738a0, job_ae7c888a, job_dc438ae2, job_ad3dbaa4, job_6cd1f975",14,"company_037, company_029, company_035, company_031, company_030, company_004, company_001, company_007, company_012, company_008, company_016, company_021, company_039, company_040",109404,58,Excellent delivery; Strong problem-solving skills; Timely communication,49
user_006,Freelancer user_006,5,Graphic Design,Beginner,"Node.js, UI/UX, Figma",12,"job_4e90bad5, job_a87afd61, job_47c528e7, job_8bf7a847, job_54e63c1c, job_4f094f89, job_489cca6b, job_e3f81860, job_0bedbdc5, job_b6938a11, job_93a8db3f, job_374c0ad7",11,"company_013, company_015, company_001, company_036, company_007, company_019, company_016, company_039, company_026, company_027, company_033",88434,55,Strong problem-solving skills; Excellent delivery; Quality could be improved,31
user_002,Freelancer user_002,8,Graphic Design,Intermediate,"React, Machine Learning, Next.js, Flutter",8,"job_7e68a349, job_12c682fd, job_183e8664, job_cdb80ceb, job_8591b0de, job_75967e8a, job_2e9641e6, job_edde9206",7,"company_008, company_032, company_024, company_012, company_006, company_037, company_040",115853,63,Exceeded expectations; Reliable freelancer; Very professional,34
user_047,Freelancer user_047,10,Data Analysis,Advanced,"Figma, Django, AWS, FastAPI, DevOps, Machine Learning",19,"job_e859cc69, job_cdb80ceb, job_ca15f87d, job_3da54b13, job_2e9641e6, job_0bf26a55, job_c15769d5, job_5108e965, job_1dab7818, job_7746bc9b, job_f4f77a1a, job_278f4fa1, job_172a8618, job_6529b296, job_b8158adc, job_0bad3c99, job_e5ecf7f6, job_744c0798, job_0004a759",17,"company_037, company_012, company_002, company_016, company_040, company_006, company_032, company_035, company_028, company_010, company_011, company_024, company_020, company_008, company_014, company_036, company_039",94067,53,Excellent delivery; Very professional; Quality could be improved,36
