invoice_id,company_id,company_name,client_id,related_freelancer_id,related_job_id,amount_due,currency,invoice_created_at,due_date,payment_expected_date,status,days_overdue,communication_history,last_communication_at,invoice_tags,created_at,updated_at
INV-2025-1000,company_014,Softcloud Networks,user_023,user_022,job_909a25f0,45041,INR,2025-11-17T06:39:51.954083+00:00,2025-12-23,2025-12-28,PENDING,0,"[{""ts"": ""2025-11-17T06:39:51.954083+00:00"", ""from"": ""freelancer"", ""to"": ""client"", ""channel"": ""email"", ""message"": ""Sent invoice INV-2025-1000 to Softcloud Networks."", ""type"": ""initial""}]",2025-11-17T06:39:51.954083+00:00,milestone,2025-11-17T06:39:51.954083+00:00,2025-11-26T06:39:51.954083+00:00
INV-2025-1001,company_035,DevCraft Hub,user_010,user_009,job_d71cf70e,77974,INR,2025-10-12T06:39:51.954083+00:00,2025-10-22,2025-10-27,OVERDUE,35,"[{""ts"": ""2025-10-12T06:39:51.954083+00:00"", ""from"": ""freelancer"", ""to"": ""client"", ""channel"": ""email"", ""message"": ""Sent invoice INV-2025-1001 to DevCraft Hub."", ""type"": ""initial""}, {""ts"": ""2025-10-19T06:39:51.954083+00:00"", ""from"": ""freelancer"", ""to"": ""client"", ""channel"": ""whatsapp"", ""message"": ""Attached invoice to email, summarizing all tasks completed and charges applied. Followed up with a friendly message checking if all details were clear. Client responded confirming the receipt and offer assistance. Client acknowledged receipt and offering clarifications. Client acknowledged receipt."", ""type"": ""reminder""}, {""ts"": ""2025-10-27T06:39:51.954083+00:00"", ""from"": ""freelancer"", ""to"": ""client"", ""channel"": ""email"", ""message"": ""Called client to discuss overdue payment. Firmly requested action and noted potential escalation if not resolved. Client acknowledged and confirmed understanding."", ""type"": ""firm""}, {""ts"": ""2025-11-11T06:39:51.954083+00:00"", ""from"": ""freelancer"", ""to"": ""client"", ""channel"": ""email"", ""message"": ""Escalated overdue invoice and previous communications. Emphasized urgency of settlement."", ""type"": ""legal""}]",2025-11-11T06:39:51.954083+00:00,,2025-10-12T06:39:51.954083+00:00,2025-11-26T06:39:51.960866+00:00
INV-2025-1002,company_036,DeepLogic Systems,user_032,user_027,job_c47d20f3,47466,INR,2025-11-20T06:39:51.961956+00:00,2025-12-01,2025-12-06,PARTIAL,0,"[{""ts"": ""2025-11-20T06:39:51.961956+00:00"", ""from"": ""freelancer"", ""to"": ""client"", ""channel"": ""email"", ""message"": ""Sent invoice INV-2025-1002 to DeepLogic Systems."", ""type"": ""initial""}]",2025-11-20T06:39:51.961956+00:00,,2025-11-20T06:39:51.961956+00:00,2025-11-26T06:39:51.961956+00:00
INV-2025-1003,company_027,BoldBridge Software,user_046,user_009,job_c2801be0,189053,INR,2025-09-18T06:39:51.961956+00:00,2025-10-16,2025-10-21,OVERDUE,41,"[{""ts"": ""2025-09-18T06:39:51.961956+00:00"", ""from"": ""freelancer"", ""to"": ""client"", ""channel"": ""email"", ""message"": ""Sent invoice INV-2025-1003 to BoldBridge Software."", ""type"": ""initial""}, {""ts"": ""2025-09-25T06:39:51.961956+00:00"", ""from"": ""freelancer"", ""to"": ""client"", ""channel"": ""whatsapp"", ""message"": ""Sent a polite tone emphasizing due dates and offering clarifications. Client responded courteously and indicated processing would begin shortly."", ""type"": ""reminder""}, {""ts"": ""2025-10-03T06:39:51.961956+00:00"", ""from"": ""freelancer"", ""to"": ""client"", ""channel"": ""email"", ""message"": ""Sent firm email reminding client of overdue payment. Firmly requested prompt action and confirmed client awareness. Client responded confirming they would process."", ""type"": ""firm""}, {""ts"": ""2025-10-18T06:39:51.961956+00:00"", ""from"": ""freelancer"", ""to"": ""client"", ""channel"": ""email"", ""message"": ""Sent final demand letter outlining unpaid invoice, previous communications, and contractual obligations. Client informed of 7-day window for settlement. Legal team updated."", ""type"": ""legal""}]",2025-10-18T06:39:51.961956+00:00,,2025-09-18T06:39:51.961956+00:00,2025-11-26T06:39:51.961956+00:00
INV-2025-1004,company_009,BlueHelix Technologies,user_005,user_034,job_a922fd85,108667,INR,2025-08-15T06:39:51.961956+00:00,2025-09-20,2025-09-25,OVERDUE,67,"[{""ts"": ""2025-08-15T06:39:51.961956+00:00"", ""from"": ""freelancer"", ""to"": ""client"", ""channel"": ""email"", ""message"": ""Sent invoice INV-2025-1004 to BlueHelix Technologies."", ""type"": ""initial""}, {""ts"": ""2025-08-22T06:39:51.961956+00:00"", ""from"": ""freelancer"", ""to"": ""client"", ""channel"": ""whatsapp"", ""message"": ""Gently reminded client about the payment timeline and expressed satisfaction with documentation."", ""type"": ""reminder""}, {""ts"": ""2025-08-30T06:39:51.961956+00:00"", ""from"": ""freelancer"", ""to"": ""client"", ""channel"": ""email"", ""message"": ""Follow-up WhatsApp message regarding overdue invoice. Detailed prior communications, emphasized urgency, and requested urgent action. Client responded confirming receipt and committed to payment."", ""type"": ""firm""}, {""ts"": ""2025-09-14T06:39:51.961956+00:00"", ""from"": ""freelancer"", ""to"": ""client"", ""channel"": ""email"", ""message"": ""Drafted legal notice for overdue invoice, including payment deadline and consequences. Legal team updated."", ""type"": ""legal""}]",2025-09-14T06:39:51.961956+00:00,,2025-08-15T06:39:51.961956+00:00,2025-11-26T06:39:51.961956+00:00
INV-2025-1005,company_005,NeonByte Labs,user_003,user_044,job_7e445da5,183646,INR,2025-09-22T06:39:51.961956+00:00,2025-10-16,2025-10-21,OVERDUE,41,"[{""ts"": ""2025-09-22T06:39:51.961956+00:00"", ""from"": ""freelancer"", ""to"": ""client"", ""channel"": ""email"", ""message"": ""Sent invoice INV-2025-1005 to NeonByte Labs."", ""type"": ""initial""}, {""ts"": ""2025-09-29T06:39:51.961956+00:00"", ""from"": ""freelancer"", ""to"": ""client"", ""channel"": ""whatsapp"", ""message"": ""Email sent with invoice attachment, including breakdown and payment instructions. Followed up through WhatsApp to confirm receipt of the invoice for review. Followed up politely to ensure clarity and receipt. Client responded positively and indicated payment would be initiated shortly."", ""type"": ""reminder""}, {""ts"": ""2025-10-07T06:39:51.961956+00:00"", ""from"": ""freelancer"", ""to"": ""client"", ""channel"": ""email"", ""message"": ""Sent formal reminder via email with reference to overdue invoice. Requested confirmation of payment date and immediate settlement and emphasized importance of timely payment. Client assured payment would be processed."", ""type"": ""firm""}, {""ts"": ""2025-10-22T06:39:51.961956+00:00"", ""from"": ""freelancer"", ""to"": ""client"", ""channel"": ""email"", ""message"": ""Escalated overdue invoice to legal team, providing full invoice history, previous reminders, and urgency of settlement."", ""type"": ""legal""}]",2025-10-22T06:39:51.961956+00:00,milestone,2025-09-22T06:39:51.961956+00:00,2025-11-26T06:39:51.962955+00:00
INV-2025-1006,company_011,BrightPath Software,user_008,user_013,job_f4f77a1a,152021,INR,2025-11-16T06:39:51.962955+00:00,2025-12-06,2025-12-11,PARTIAL,0,"[{""ts"": ""2025-11-16T06:39:51.962955+00:00"", ""from"": ""freelancer"", ""to"": ""client"", ""channel"": ""email"", ""message"": ""Sent invoice INV-2025-1006 to BrightPath Software."", ""type"": ""initial""}]",2025-11-16T06:39:51.962955+00:00,,2025-11-16T06:39:51.962955+00:00,2025-11-26T06:39:51.962955+00:00
INV-2025-1007,company_006,AlphaUp Startups,user_010,user_027,job_9ba70b22,102654,INR,2025-10-13T06:39:51.962955+00:00,2025-10-26,2025-10-31,OVERDUE,31,"[{""ts"": ""2025-10-13T06:39:51.962955+00:00"", ""from"": ""freelancer"", ""to"": ""client"", ""channel"": ""email"", ""message"": ""Sent invoice INV-2025-1007 to AlphaUp Startups."", ""type"": ""initial""}, {""ts"": ""2025-10-20T06:39:51.962955+00:00"", ""from"": ""freelancer"", ""to"": ""client"", ""channel"": ""whatsapp"", ""message"": ""Sent invoice via WhatsApp, providing payment details and line-item summary. Polite WhatsApp follow-up ensured client had received and understood all details."", ""type"": ""reminder""}, {""ts"": ""2025-10-28T06:39:51.962955+00:00"", ""from"": ""freelancer"", ""to"": ""client"", ""channel"": ""email"", ""message"": ""Sent firm email highlighting overdue invoice. Emphasized immediate payment and noted potential escalation to management if not resolved. Client acknowledged and requested immediate settlement. Client responded indicating payment will be made."", ""type"": ""firm""}, {""ts"": ""2025-11-12T06:39:51.962955+00:00"", ""from"": ""freelancer"", ""to"": ""client"", ""channel"": ""email"", ""message"": ""Drafted legal notice for client. Urgency highlighted."", ""type"": ""legal""}]",2025-11-12T06:39:51.962955+00:00,milestone,2025-10-13T06:39:51.962955+00:00,2025-11-26T06:39:51.962955+00:00
INV-2025-1008,company_001,TechCorp Solutions,user_029,user_007,job_47c528e7,50984,INR,2025-10-07T06:39:51.962955+00:00,2025-10-14,2025-10-19,OVERDUE,43,"[{""ts"": ""2025-10-07T06:39:51.962955+00:00"", ""from"": ""freelancer"", ""to"": ""client"", ""channel"": ""email"", ""message"": ""Sent invoice INV-2025-1008 to TechCorp Solutions."", ""type"": ""initial""}, {""ts"": ""2025-10-14T06:39:51.962955+00:00"", ""from"": ""freelancer"", ""to"": ""client"", ""channel"": ""whatsapp"", ""message"": ""Shared invoice with detailed breakdown of work completed. Sent a follow-up message sent for confirmation. Client replied positively."", ""type"": ""reminder""}, {""ts"": ""2025-10-22T06:39:51.962955+00:00"", ""from"": ""freelancer"", ""to"": ""client"", ""channel"": ""email"", ""message"": ""Sent email stressing overdue status of invoice. Requested immediate settlement is necessary. Highlighted previous reminders and contractual obligations. Client promised prompt processing."", ""type"": ""firm""}, {""ts"": ""2025-11-06T06:39:51.962955+00:00"", ""from"": ""freelancer"", ""to"": ""client"", ""channel"": ""email"", ""message"": ""Escalated client’s overdue invoice to legal team, providing full invoice history, previous reminders, and legal department notified."", ""type"": ""legal""}]",2025-11-06T06:39:51.962955+00:00,,2025-10-07T06:39:51.962955+00:00,2025-11-26T06:39:51.963954+00:00
INV-2025-1009,company_037,OmniLayer Interactive,user_033,user_018,job_97dd5d72,136125,INR,2025-10-01T06:39:51.963954+00:00,2025-10-16,2025-10-21,OVERDUE,41,"[{""ts"": ""2025-10-01T06:39:51.963954+00:00"", ""from"": ""freelancer"", ""to"": ""client"", ""channel"": ""email"", ""message"": ""Sent invoice INV-2025-1009 to OmniLayer Interactive."", ""type"": ""initial""}, {""ts"": ""2025-10-08T06:39:51.963954+00:00"", ""from"": ""freelancer"", ""to"": ""client"", ""channel"": ""whatsapp"", ""message"": ""Sent invoice with client via email highlighting the payment terms and requesting confirmation of receipt. Client replied courteously and indicated processing soon."", ""type"": ""reminder""}, {""ts"": ""2025-10-16T06:39:51.963954+00:00"", ""from"": ""freelancer"", ""to"": ""client"", ""channel"": ""email"", ""message"": ""Sent formal reminder email outlining overdue invoice and requesting prompt action. Provided reference to overdue invoice. Detailed prior communications, emphasized urgency, and requested confirmation of payment date and immediate settlement is expected. Highlighted the consequences of delayed payment, and requested confirmation of when funds would be initiated shortly."", ""type"": ""firm""}, {""ts"": ""2025-10-31T06:39:51.963954+00:00"", ""from"": ""freelancer"", ""to"": ""client"", ""channel"": ""email"", ""message"": ""Sent final demand letter outlining overdue payment, referencing contractual obligations and prior communications. Notified client of imminent legal escalation if payment is not received. Legal team kept on record."", ""type"": ""legal""}]",2025-10-31T06:39:51.963954+00:00,,2025-10-01T06:39:51.963954+00:00,2025-11-26T06:39:51.963954+00:00
