transaction_id,user_id,related_invoice_id,related_job_id,transaction_type,amount,currency,description,merchant_name,transaction_category,date,balance_after_transaction,payment_method,geo_location,created_at,updated_at
txn_C14D44E5,user_010,,,DEBIT,339.0,INR,CARD-AMAZON-PRIME,Amazon Prime,Entertainment,2025-10-20T21:43:51.762566+00:00,136863,CARD,"Bengaluru, Karnataka",2025-10-20T21:43:51.762566+00:00,2025-10-20T21:43:51.762566+00:00
txn_23736C8B,user_035,,,DEBIT,3982.0,INR,UPI-MYNTRA-STUDIO-CAFE-COFFEE-STUDIO,Myntra Studio Cafe,Food,2025-07-10T01:54:36.762566+00:00,109327,UPI,"Pune, Maharashtra",2025-07-10T01:54:36.762566+00:00,2025-07-10T01:54:36.762566+00:00
txn_13CAD07F,user_008,,,DEBIT,902.0,INR,UPI-NETCARE-PHARMACY-INDIA,Netcare Pharmacy India,Grocery,2025-10-25T11:11:00.762566+00:00,95239,UPI,"Pune, Maharashtra",2025-10-25T11:11:00.762566+00:00,2025-10-25T11:11:00.762566+00:00
txn_6E9DF961,user_013,INV-2025-1032,job_fbde6b43,CREDIT,129611.0,INR,NEFT-PrimeShiftDigital-PAYMENT,Primeshiftdigital Payment,Grocery,2025-08-24T10:43:22.762566+00:00,222845,NEFT,"Delhi, Delhi",2025-08-24T10:43:22.762566+00:00,2025-08-24T10:43:22.762566+00:00
txn_38B53125,user_002,,,DEBIT,1315.0,INR,CARD-AMAZON-PRIME,Amazon Prime,Entertainment,2025-09-22T21:43:10.762566+00:00,61293,CARD,"Mumbai, Maharashtra",2025-09-22T21:43:10.762566+00:00,2025-09-22T21:43:10.762566+00:00
txn_87F8A26A,user_027,,,DEBIT,2018.0,INR,UPI-SHOPPERS-STOP-HOUSE,Shoppers Stop House,Transport,2025-07-03T21:08:01.762566+00:00,93158,UPI,"Delhi, Delhi",2025-07-03T21:08:01.762566+00:00,2025-07-03T21:08:01.762566+00:00
txn_2A6804F3,user_018,,,DEBIT,2140.0,INR,UPI-CAFE-COFFEE-DEPOT-CAFE-HOUSE,Cafe Coffee Depot,Medical,2025-06-10T16:27:17.762566+00:00,48148,UPI,"Bengaluru, Karnataka",2025-06-10T16:27:17.762566+00:00,2025-06-10T16:27:17.762566+00:00
txn_39DD517E,user_033,,,DEBIT,582.0,INR,UPI-CAFE-HOUSE-EXPRESS-CAFE,Cafe House Express,Transport,2025-06-25T16:22:35.762566+00:00,64047,UPI,"Bengaluru, Karnataka",2025-06-25T16:22:35.762566+00:00,2025-06-25T16:22:35.762566+00:00
txn_0BEB4564,user_012,,,DEBIT,1891.0,INR,UPI-SHOPPER'S-STOP-MALL,Shopper'S Stop Mall,Grocery,2025-10-22T20:38:52.762566+00:00,136719,UPI,"Bengaluru, Karnataka",2025-10-22T20:38:52.762566+00:00,2025-10-22T20:38:52.762566+00:00
txn_8B3C4E55,user_015,,,DEBIT,1716.0,INR,UPI-CAFE-COFFEE-COURT-CAFE-COFFEE-HUB-&-CO.-HOUSE,Cafe Coffee Court,Grocery,2025-09-22T23:04:47.762566+00:00,59371,UPI,"Bengaluru, Karnataka",2025-09-22T23:04:47.762566+00:00,2025-09-22T23:04:47.762566+00:00
txn_018EE1B9,user_015,,,DEBIT,510.0,INR,UPI-MYNTRA-STUDIO-CAFE-COFFEE-TIME,Myntra Studio Cafe,Food,2025-08-14T20:17:20.762566+00:00,58861,UPI,"Mumbai, Maharashtra",2025-08-14T20:17:20.762566+00:00,2025-08-14T20:17:20.762566+00:00
txn_23465C7D,user_022,,,DEBIT,4792.0,INR,UPI-CAFE-COFFEE-STUDIO-CAFE-COFFEE-ZONE-CAFE-COFFEE-BEAN,Cafe Coffee Studio,Shopping,2025-09-09T04:25:08.762566+00:00,119033,UPI,"Pune, Maharashtra",2025-09-09T04:25:08.762566+00:00,2025-09-09T04:25:08.762566+00:00
txn_33D31AB6,user_027,,,DEBIT,70.0,INR,UPI-CAFE-COFFEE-WORKS-CAFE-COFFEE-JUNCTION-HOUSE,Cafe Coffee Works,Food,2025-10-27T06:14:03.762566+00:00,93088,UPI,"Bengaluru, Karnataka",2025-10-27T06:14:03.762566+00:00,2025-10-27T06:14:03.762566+00:00
txn_FF95129E,user_039,,,DEBIT,1198.0,INR,UPI-COSTA-COFFEE-LOUNGE-BAR,Costa Coffee Lounge,Grocery,2025-06-27T15:44:05.762566+00:00,80853,UPI,"Mumbai, Maharashtra",2025-06-27T15:44:05.762566+00:00,2025-06-27T15:44:05.762566+00:00
txn_3DFEB91F,user_012,,,DEBIT,806.0,INR,UPI-CAFE-COFFEE-STUDIO-CAFE-COFFEE-ZONE-CAFE-HOUSE,Cafe Coffee Studio,Shopping,2025-07-22T09:06:14.762566+00:00,135913,UPI,"Bengaluru, Karnataka",2025-07-22T09:06:14.762566+00:00,2025-07-22T09:06:14.762566+00:00
txn_7A065C89,user_047,,,DEBIT,2503.0,INR,UPI-SHOPPER'S-STOP-CAFE,Shopper'S Stop Cafe,Food,2025-11-19T13:27:49.762566+00:00,79729,UPI,"Delhi, Delhi",2025-11-19T13:27:49.762566+00:00,2025-11-19T13:27:49.762566+00:00
txn_5E55834C,user_016,,,DEBIT,4266.0,INR,UPI-CAFE-COFFEE-BEAN-CAFE-COFFEE-COLLECTIVE,Cafe Coffee Bean,Food,2025-07-04T04:17:05.762566+00:00,108850,UPI,"Bengaluru, Karnataka",2025-07-04T04:17:05.762566+00:00,2025-07-04T04:17:05.762566+00:00
txn_4CED84F0,user_025,,,DEBIT,518.0,INR,UPI-DTH-RECHARGE,Dth Recharge,Recharge,2025-06-03T21:27:01.762566+00:00,143795,UPI,"Delhi, Delhi",2025-06-03T21:27:01.762566+00:00,2025-06-03T21:27:01.762566+00:00
txn_8108ED44,user_033,,,CREDIT,81710.0,INR,NEFT-NorthStarAutomation-PAYMENT,Northstarautomation Payment,Medical,2025-11-14T21:10:22.762566+00:00,145757,NEFT,"Mumbai, Maharashtra",2025-11-14T21:10:22.762566+00:00,2025-11-14T21:10:22.762566+00:00
txn_E4469868,user_028,INV-2025-1583,job_fe038d3b,CREDIT,110367.0,INR,NEFT-OmniLayerInteractive-PAYMENT,Omnilayerinteractive Payment,Rent,2025-07-08T10:45:42.762566+00:00,222282,NEFT,"Delhi, Delhi",2025-07-08T10:45:42.762566+00:00,2025-07-08T10:45:42.762566+00:00
txn_D8ACD9F5,user_023,,,DEBIT,3501.0,INR,UPI-CAFE-COFFEE-BEAN-CAFE-COFFEE-BEAN-CAFE-COFFEE-LOUNGE,Cafe Coffee Bean,Food,2025-06-10T06:23:15.762566+00:00,129807,UPI,"Pune, Maharashtra",2025-06-10T06:23:15.762566+00:00,2025-06-10T06:23:15.762566+00:00
txn_C126186D,user_035,,,DEBIT,2932.0,INR,UPI-SHOPPERS-STOP-CAFE-COFFEE-STOP,Shoppers Stop Cafe,Grocery,2025-06-18T02:38:57.762566+00:00,106395,UPI,"Delhi, Delhi",2025-06-18T02:38:57.762566+00:00,2025-06-18T02:38:57.762566+00:00
txn_C5046CD8,user_045,INV-2025-1215,job_c2801be0,CREDIT,137084.0,INR,NEFT-StellarPeakStudios-PAYMENT,Stellarpeakstudios Payment,Food,2025-11-12T02:08:28.762566+00:00,197896,NEFT,"Bengaluru, Karnataka",2025-11-12T02:08:28.762566+00:00,2025-11-12T02:08:28.762566+00:00
txn_A3709FB5,user_012,,,DEBIT,2025.0,INR,UPI-CAFE-COFFEE-LOUNGE-BAR-HOUSE,Cafe Coffee Lounge,Food,2025-08-23T04:58:14.762566+00:00,133888,UPI,"Delhi, Delhi",2025-08-23T04:58:14.762566+00:00,2025-08-23T04:58:14.762566+00:00
txn_8A8806AE,user_011,,,DEBIT,3808.0,INR,UPI-FARMERS-MARKET-BASKET,Farmers Market Basket,Food,2025-08-17T11:35:08.762566+00:00,48901,UPI,"Mumbai, Maharashtra",2025-08-17T11:35:08.762566+00:00,2025-08-17T11:35:08.762566+00:00
txn_53189391,user_030,,,DEBIT,1697.0,INR,UPI-CLOUDNINE-PHARMACY-INDIA,Cloudnine Pharmacy India,Food,2025-06-01T12:03:25.762566+00:00,87094,UPI,"Delhi, Delhi",2025-06-01T12:03:25.762566+00:00,2025-06-01T12:03:25.762566+00:00
txn_4D46BC6C,user_009,,,DEBIT,653.0,INR,UPI-CAFE-COFFEE-SHOP-CAFE-HOUSE,Cafe Coffee Shop,Grocery,2025-09-26T21:05:38.762566+00:00,136729,UPI,"Mumbai, Maharashtra",2025-09-26T21:05:38.762566+00:00,2025-09-26T21:05:38.762566+00:00
txn_0DE202ED,user_026,,,DEBIT,2097.0,INR,UPI-CAFE-COFFEE-FACTORY-CAFE-COFFEE-STREET-HOUSE,Cafe Coffee Factory,Grocery,2025-10-09T13:32:10.762566+00:00,61210,UPI,"Mumbai, Maharashtra",2025-10-09T13:32:10.762566+00:00,2025-10-09T13:32:10.762566+00:00
txn_68532894,user_049,,,DEBIT,21054.0,INR,UPI-LANDLORD-RENT,Landlord Rent,Rent,2025-06-30T21:42:54.762566+00:00,123444,UPI,"Bengaluru, Karnataka",2025-06-30T21:42:54.762566+00:00,2025-06-30T21:42:54.762566+00:00
txn_36CAF14F,user_028,,,DEBIT,1317.0,INR,UPI-ADIDAS-MALL,Adidas Mall,Shopping,2025-10-15T17:28:35.762566+00:00,220965,UPI,"Bengaluru, Karnataka",2025-10-15T17:28:35.762566+00:00,2025-10-15T17:28:35.762566+00:00
txn_9E2E16A9,user_007,,,DEBIT,411.0,INR,UPI-DTH-RECHARGE,Dth Recharge,Recharge,2025-10-29T21:42:10.762566+00:00,107496,UPI,"Delhi, Delhi",2025-10-29T21:42:10.762566+00:00,2025-10-29T21:42:10.762566+00:00
txn_E6A5B567,user_008,,,DEBIT,4625.0,INR,UPI-CAFE-EXPRESS-HOUSE,Cafe Express House,Food,2025-08-14T01:37:07.762566+00:00,90614,UPI,"Pune, Maharashtra",2025-08-14T01:37:07.762566+00:00,2025-08-14T01:37:07.762566+00:00
